Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 11,11,0.9458,0.9458,0.9196,0.0347,0.9196,0.0262,0.8421,0.9718,10,wav2vec2,EmoDB
Layer 12,12,0.9477,0.9474,0.914,0.0387,0.9137,0.0337,0.8545,0.9714,10,wav2vec2,EmoDB
Layer 13,13,0.9234,0.9236,0.8935,0.0367,0.8926,0.0299,0.8448,0.9577,10,wav2vec2,EmoDB
Layer 14,14,0.9084,0.9081,0.886,0.0433,0.8857,0.0224,0.8158,0.9718,10,wav2vec2,EmoDB
Layer 15,15,0.9084,0.9081,0.9196,0.0324,0.9194,-0.0112,0.875,0.9859,10,wav2vec2,EmoDB
Layer 16,16,0.9103,0.9093,0.9009,0.0287,0.9001,0.0094,0.8393,0.9474,10,wav2vec2,EmoDB
Layer 17,17,0.8935,0.8928,0.8953,0.0247,0.8943,-0.0018,0.8545,0.9429,10,wav2vec2,EmoDB
Layer 18,18,0.9159,0.9149,0.8916,0.0323,0.8903,0.0243,0.8448,0.9714,10,wav2vec2,EmoDB
Layer 19,19,0.8748,0.8736,0.8486,0.0365,0.8466,0.0262,0.8036,0.9143,10,wav2vec2,EmoDB
Layer 20,20,0.8636,0.8618,0.8579,0.0457,0.8561,0.0057,0.7931,0.9302,10,wav2vec2,EmoDB
Layer 21,21,0.8037,0.8014,0.7981,0.0539,0.7959,0.0056,0.7069,0.9143,10,wav2vec2,EmoDB
Layer 22,22,0.7757,0.7708,0.7589,0.0443,0.7573,0.0168,0.6724,0.8286,10,wav2vec2,EmoDB
Layer 23,23,0.7065,0.6992,0.7159,0.0772,0.711,-0.0094,0.5526,0.8,10,wav2vec2,EmoDB
Layer 24,24,0.5832,0.5741,0.5794,0.0663,0.5706,0.0038,0.4898,0.7429,10,wav2vec2,EmoDB
CNN,0,0.6394,0.6391,0.587,0.0289,0.5866,0.0524,0.5217,0.6387,10,wav2vec2,IEMOCAP
Layer 1,1,0.6337,0.6337,0.5841,0.041,0.5837,0.0496,0.5169,0.6602,10,wav2vec2,IEMOCAP
Layer 2,2,0.6297,0.6296,0.5861,0.0366,0.5853,0.0436,0.5339,0.6587,10,wav2vec2,IEMOCAP
Layer 3,3,0.6282,0.6282,0.5824,0.0396,0.5822,0.0458,0.5348,0.6523,10,wav2vec2,IEMOCAP
Layer 4,4,0.6368,0.6366,0.6011,0.0433,0.6006,0.0357,0.5217,0.6492,10,wav2vec2,IEMOCAP
Layer 5,5,0.6317,0.6315,0.607,0.0336,0.6065,0.0247,0.5598,0.6661,10,wav2vec2,IEMOCAP
Layer 6,6,0.6377,0.6374,0.5901,0.0262,0.5894,0.0476,0.5518,0.6191,10,wav2vec2,IEMOCAP
Layer 7,7,0.6214,0.621,0.5929,0.0265,0.5919,0.0285,0.5549,0.6369,10,wav2vec2,IEMOCAP
Layer 8,8,0.6416,0.6412,0.611,0.027,0.6108,0.0306,0.5629,0.6523,10,wav2vec2,IEMOCAP
Layer 9,9,0.6379,0.6378,0.6159,0.0333,0.6155,0.022,0.5254,0.6484,10,wav2vec2,IEMOCAP
Layer 10,10,0.6278,0.6275,0.6139,0.0266,0.6136,0.0139,0.5669,0.6661,10,wav2vec2,IEMOCAP
Layer 11,11,0.6212,0.621,0.6016,0.0263,0.6014,0.0196,0.5569,0.6543,10,wav2vec2,IEMOCAP
Layer 12,12,0.6179,0.6174,0.6082,0.0315,0.6076,0.0097,0.5461,0.6624,10,wav2vec2,IEMOCAP
