feature,mi,monosemanticity,dominant_emotion
2496,0.004633417117817427,0.5700873136520386,fear
528,0.00461228741449189,0.5180542469024658,anger
7525,0.004525211526869875,0.6256814002990723,anger
7195,0.004516755877315334,0.5552036762237549,anger
4539,0.00444128634829292,0.5185471177101135,anger
865,0.004432460958082536,0.5508235692977905,anger
3896,0.004425619891825245,0.5481565594673157,anger
5075,0.0043875903178828375,0.5368905663490295,disgust
4105,0.004361964718255567,0.5360039472579956,anger
7070,0.004333234705238486,0.5316717028617859,happiness
7945,0.004308512748193742,0.56365567445755,disgust
5107,0.004285286645213656,0.5369999408721924,anger
7009,0.004266910683849027,0.7463628649711609,disgust
4586,0.004183473502200871,0.5104242563247681,sadness
3205,0.0041479498269501565,0.574776291847229,disgust
5487,0.004096683324958519,0.7152974009513855,anger
5532,0.004010598841894593,0.6092519760131836,disgust
1292,0.00398829049931141,0.509364664554596,happiness
2122,0.003971601699971259,0.6423160433769226,fear
19,0.003872557549964923,0.5531917214393616,disgust
4384,0.0038637401596105674,0.5224682688713074,disgust
420,0.0037999207902409777,0.8195993900299072,sadness
7209,0.003715216901171258,0.5274813771247864,disgust
7284,0.003702730278027439,0.5448675155639648,anger
7701,0.0037011686214153535,0.6281139254570007,fear
1437,0.00367758497801673,0.5005464553833008,anger
4259,0.003646217846661449,0.5698838233947754,anger
843,0.00362751924019028,0.6507182717323303,fear
6180,0.003621331588356585,0.524967610836029,anger
2263,0.0036020955798817967,0.6204284429550171,disgust
5466,0.0035608121860217236,0.5627710223197937,anger
6490,0.0034815532841026304,0.5997446775436401,anger
2414,0.003345037630037506,0.5227424502372742,disgust
4780,0.003314349981111248,0.5053586959838867,happiness
3147,0.0033109579803753783,0.6798883080482483,anger
4792,0.003299485178711361,0.5277438759803772,anger
6379,0.0032904114015513096,0.5225062370300293,happiness
7007,0.0031136143495469355,0.6271082758903503,anger
6498,0.003097195011820706,0.8003482222557068,fear
2106,0.003065189101873209,0.6540887951850891,disgust
1479,0.003053122950946725,0.5225993990898132,fear
6958,0.0030474353525775343,0.6251170635223389,neutral
3014,0.0030295841243883044,0.5135940313339233,disgust
1151,0.0030272174589574,0.551144540309906,disgust
7823,0.0029934444274126075,0.658055305480957,disgust
2760,0.00294988320960869,0.5919486880302429,disgust
3587,0.002942810103120169,0.5292906165122986,anger
2376,0.0028050995761682287,0.56590336561203,disgust
1280,0.002785433688008603,0.5462469458580017,anger
7530,0.0027569691938377954,0.5307852625846863,anger
4299,0.002695507202226671,0.5138739347457886,disgust
3325,0.002694745786963305,0.7450296878814697,anger
5382,0.002683473151771224,0.6258113384246826,anger
6074,0.002624956921523382,0.6030431389808655,fear
6125,0.0025992502416362162,0.507092297077179,happiness
2461,0.0025301649518741903,0.5197399258613586,happiness
7063,0.0025139579488611744,0.5514592528343201,anger
6234,0.0024971054700759126,0.5038478970527649,fear
1569,0.0024609136192435496,0.5172706246376038,disgust
150,0.0024567644835677646,0.6388349533081055,anger
592,0.002390257241293949,0.6001327633857727,anger
3471,0.0023660100150906128,0.5036630630493164,disgust
3825,0.0023516837775713288,0.5330660939216614,disgust
7599,0.002294995500630694,0.6190766096115112,happiness
4379,0.0022450782378616433,0.6079846620559692,disgust
5926,0.0022249903311171715,0.503524661064148,anger
1813,0.0021836323505451307,0.500586748123169,anger
1050,0.0021644862503903376,0.6436290144920349,anger
1413,0.002146835254874145,0.8213537335395813,disgust
5336,0.002121746330346081,0.8010787963867188,disgust
6691,0.002069191982364753,0.7039659023284912,anger
7258,0.00198565784609594,0.603158175945282,anger
379,0.0019831439310751715,0.816573441028595,disgust
4955,0.001978095595566613,0.575657069683075,disgust
3475,0.001925365393678248,0.5323653817176819,anger
4049,0.0018773591620251634,0.6078429818153381,sadness
3267,0.0018566190852058,0.5565221309661865,disgust
189,0.0018320286023815364,0.5543038845062256,anger
5510,0.0018297492563230015,0.7184650897979736,disgust
3037,0.0018235729530764499,0.5051748156547546,sadness
4213,0.0018197624019032454,0.5032245516777039,anger
2987,0.0017067429422680197,0.5909457206726074,disgust
4654,0.0016496815100460701,0.7765274047851562,anger
3131,0.0016436050177102324,0.7315208315849304,anger
692,0.0016119939275188134,0.6868146061897278,disgust
7409,0.0016114834853288716,0.5519063472747803,anger
6911,0.001572437531327819,0.6558200120925903,anger
6042,0.0015420324520658542,0.5374499559402466,anger
6808,0.0015143068374820125,0.5996780395507812,disgust
2447,0.0015091881547667763,0.5062751770019531,disgust
2199,0.0015076594100745012,0.606765866279602,disgust
1969,0.0015064630586486875,0.5457684397697449,anger
4891,0.0014698360632596104,0.643042802810669,fear
5909,0.0014565011295771266,0.7268367409706116,disgust
